Name,CPUPerc,MemUsage,NetIO,BlockIO,PIDs
api,0.01%,27.18MiB / 1GiB,61.2MB / 269MB,0B / 0B,26
api,0.03%,27.22MiB / 1GiB,61.2MB / 269MB,0B / 0B,26
api,23.07%,31.96MiB / 1GiB,61.3MB / 270MB,0B / 0B,26
api,24.66%,33.77MiB / 1GiB,61.4MB / 273MB,0B / 0B,26
api,23.27%,32.7MiB / 1GiB,61.5MB / 276MB,0B / 0B,26
api,20.84%,34.08MiB / 1GiB,61.7MB / 279MB,0B / 0B,26
api,22.87%,34.09MiB / 1GiB,61.8MB / 281MB,0B / 0B,26
api,61.50%,36.41MiB / 1GiB,62.1MB / 287MB,0B / 0B,26
api,58.73%,37.18MiB / 1GiB,62.5MB / 296MB,0B / 0B,26
api,64.18%,35.32MiB / 1GiB,62.9MB / 304MB,0B / 0B,26
api,55.11%,37.03MiB / 1GiB,63.4MB / 313MB,0B / 0B,26
api,62.90%,33.88MiB / 1GiB,63.8MB / 322MB,0B / 0B,26
api,88.34%,35.97MiB / 1GiB,64.4MB / 333MB,0B / 0B,26
api,88.57%,38.57MiB / 1GiB,65.1MB / 348MB,0B / 0B,26
api,88.90%,38.06MiB / 1GiB,65.8MB / 362MB,0B / 0B,26
api,91.63%,39.27MiB / 1GiB,66.5MB / 376MB,0B / 0B,26
api,88.99%,38.54MiB / 1GiB,67.2MB / 391MB,0B / 0B,26
api,102.80%,37.89MiB / 1GiB,67.9MB / 406MB,0B / 0B,26
api,96.09%,43.92MiB / 1GiB,68.8MB / 423MB,0B / 0B,26
api,98.18%,45.28MiB / 1GiB,69.6MB / 439MB,0B / 0B,26
api,102.60%,51.46MiB / 1GiB,70.4MB / 455MB,0B / 0B,26
api,100.65%,52.85MiB / 1GiB,71.2MB / 471MB,0B / 0B,26
api,96.40%,56.48MiB / 1GiB,72.1MB / 489MB,0B / 0B,26
api,98.58%,58.48MiB / 1GiB,72.9MB / 505MB,0B / 0B,26
api,97.35%,59.29MiB / 1GiB,73.7MB / 521MB,0B / 0B,26
api,96.52%,63.39MiB / 1GiB,74.6MB / 537MB,0B / 0B,26
api,94.35%,78.2MiB / 1GiB,75.5MB / 554MB,0B / 0B,26
api,97.81%,78.1MiB / 1GiB,76.2MB / 569MB,0B / 0B,26
api,97.08%,87.72MiB / 1GiB,77MB / 586MB,0B / 0B,26
api,97.93%,93.4MiB / 1GiB,77.8MB / 603MB,0B / 0B,26
api,99.62%,93.4MiB / 1GiB,78.7MB / 620MB,0B / 0B,26
api,95.24%,93.22MiB / 1GiB,79.6MB / 639MB,0B / 0B,26
api,94.12%,92.18MiB / 1GiB,80.4MB / 656MB,0B / 0B,26
api,96.59%,93.47MiB / 1GiB,81.1MB / 671MB,0B / 0B,26
api,97.56%,92.49MiB / 1GiB,82MB / 689MB,0B / 0B,26
api,92.31%,92.41MiB / 1GiB,82.8MB / 707MB,0B / 0B,26
api,97.86%,92MiB / 1GiB,83.6MB / 724MB,0B / 0B,26
api,11.98%,85.8MiB / 1GiB,83.7MB / 728MB,0B / 0B,26
api,14.29%,73.59MiB / 1GiB,83.7MB / 728MB,0B / 0B,26
api,11.85%,60.93MiB / 1GiB,83.7MB / 728MB,0B / 0B,26
api,12.52%,48.03MiB / 1GiB,83.7MB / 728MB,0B / 0B,26
api,0.01%,45.2MiB / 1GiB,83.7MB / 728MB,0B / 0B,26
api,0.02%,45.2MiB / 1GiB,83.7MB / 728MB,0B / 0B,26
